text,label
"On the morning of XX/XX/year> my device ( cellphone ) was stolen and the perpetrator then gained access to my personal Cashapp account. The perpetrator then illegally transferred my funds totaling {$530.00} dollars out of my Cashapp account and into their own personal Cashapp account! After my device was stolen I went to my local police station to report my device being stolen and my funds illegally electronically being stolen from account! As a result, I had to purchase new cellphone device. The same day my device was stolen on XX/XX/year>, I did contact Cashapp customer service to report my funds being stolen and illegally transferred out of my account without my consent due to my device being stolen! I followed up with Cashapp 's department who handles fraud etc., and submitted my document proof via email that included my police report and new phone purchase receipt per Cashapp 's company 's policy for their fraud department. Cashapp has NOT issued me my refund from this incident and has refused to.",Checking or savings account
Please check the provided materials ; the inquiries came without notice and may not be approved.,Credit reporting or other personal consumer reports
"First and foremost, I've attached a screenshot of a XXXX chat I had today, XX/XX/XXXX, asking if I had any more open appeals to which the chat claimed I didn't. To fully understand the issue, I must provide some context ( also outlined in the police report that will be attached ). On the night of XX/XX/XXXX, it was my second night of a trip to XXXX with friends. We were drinking and when I left the bar, I realized I didn't have my phone. I remembered asking the bartender to plug it in so I thought nothing of it and would get my phone the next day. I got a taxi to take me to an ATM so he could take me home so I withdrew {$60.00} with a {$4.00} fee ( my last authorized transaction ) early in the morning ( maybe XXXX ) on XX/XX/XXXX. After waking up on XX/XX/XXXX, my friend got an XXXX for us around noon but the bar didn't open until XXXX so we went to another local pub for food and drink. When I tried to pay, I realized neither my XXXX credit cards nor my XXXX debit card was working and the transactions were denied. My friend and I go back to the airbnb where I use my other friend 's phone to call these institutions to see what was happening. I called XXXX first, where they promptly told me there had been misusage of my credit cards on via my digital wallet, which was when I realized my phone was stolen. They also explained that the individual attempted to call chase and impersonate me ( identity fraud ) in order to reactivate the cards, but couldn't answer the security questions. XXXX has since refunded me all the funds and this complaint is not applicable to XXXX. My complaint is directed towards XXXX, who I promptly called after speaking with XXXX at approximately XXXX on XX/XX/XXXX. When speaking with them over my friend 's phone, they told me about {$2500.00} worth of XXXX transactions which I told them I wanted to dispute. These were the only transactions they let me submit a dispute for. What I did not realize is that when I got a new phone later that night around XXXX pm ( receipts attached ), was that I had more transactions that were fraudulent that they either didn't include in my dispute, or didn't notify me about ( I had made it clear that my phone was stolen, and anything attempted between the {$64.00} and the attempted pub transaction were not authorized ). On XX/XX/XXXX, I got the notification that my dispute for {$2500.00} was rejected. On the morning of XX/XX/XXXX, I took the time to open the XXXX app as I had the restriction lifted. It was then I noticed that there was a {$500.00} apple pay transaction that I didn't know about and wasn't disputed. I also noticed that a crypto account was opened on my account which I never authorized. I immediately called XXXX, explaining that not only would I like to appeal the {$2500.00} dispute result, but also dispute the {$500.00} XXXX pay transaction and try to secure my account because clearly someone had access to it via my stolen phone. They asked me some questions about for the appeal, put a restriction on my account, and that was that. The next day my account restriction was lifted claiming no signs of suspicious activity which was and still is a mistake but I decided I would just move the rest of the funds I had left to a new checking account once I returned from my trip. On XX/XX/XXXX, my dispute for {$500.00} was denied, which I appealed I believe the next day. On XX/XX/XXXX, I got emails from XXXX about new attempted transactions from a loan company with the details of that outlined in the attached police report. XX/XX/XXXX is when I had the time to finally submit the police report, after being home for XXXX days but working all of them ( XXXX hrs on Sunday the XXXX and XXXX hours on Monday the XXXX in order to make more money to pay rent because I wouldn't be able to now that my money was stolen and my funds were not returned ). On XX/XX/XXXX, XXXX emailed me to receive a copy of the police report, a copy of my phone receipts, and asked if I had contacted apple. I gave them the copies and told them I didn't contact apple. On XX/XX/XXXX, I received an email that my dispute for {$500.00} was denied and they made me ask for a copy of the case summary. I come to find out that it's the exact same copy they sent me on XX/XX/XXXX right down to the hyperlink ( I have this attached as well ). My frustration with XXXX was at its peak, and now I come to learn this morning, XX/XX/XXXX, that I don't have any open appeals. I thought that the appeal for {$2500.00} was still open, and I asked over the phone and via email about the status of it multiple times to which I received nonmaterial information.","Money transfer, virtual currency, or money service"
"I have a debt in collections reflecting on all three of my credit bureau reports from LVNV Funding LLC and have requested from all three credit reporting agencies for validation of debt with response from only XXXX that debt has been validated but with no proof of validation of debt. I also sent correspondence to LVNV directly and no response at all received. The report of this account is completely inaccurate and must be removed without requested validation of debt. I have never had any agreement with this company, written or verbal.",Debt collection
"I am filing this complaint regarding Cash Apps refusal to assist in resolving an erroneous payment of {$800.00}, despite my immediate action and full cooperation. 
On the date of the transaction, I intended to send {$800.00} to a known recipient. While typing the recipients name, a different user appeared, and the funds were mistakenly sent to an individual I do not know. I attempted to cancel the payment immediately, but it had already been accepted. 
I contacted Cash App support right away and was told nothing could be done once the payment was accepted. I then reached out to the recipient and eventually located them through social media. The recipient has stated they are willing to refund the money only if Cash App provides written confirmation that they will not be charged a second time in the event of a dispute. 
This is a reasonable request. The recipient contacted Cash App directly and was advised not to refund me.So he then asked for confirmation. Cash App has refused to provide any written confirmation, email, or documentation even after my dispute was formally denied and closed as this was as a last resort. 
At this point, there is no possibility of a chargeback or future dispute. However, Cash App continues to refuse to assist in facilitating a refund or providing minimal written assurance, effectively blocking resolution and leaving me without recovery of my {$800.00} after more than a month. 
Resolution Requested : Cash App should provide written confirmation that the recipient will not be charged again if the funds are refunded, or otherwise facilitate the recovery of my erroneously sent {$800.00}.","Money transfer, virtual currency, or money service"
"On XX/XX/XXXX, I took out a private student loan with my Dad as the co-signer. In XXXX, I signed separate private student loan this time with my mother as my co-signer. Both loans were originally issued by XXXX, but later sold/or transferred to Firstmark Services . 

After taking a semester off college, my deferment period ended and I was asked to begin making monthly payments. Upon signing in and setting up my Firstmark account, we discovered that Firstmark 's system has listed my mother as the primary borrower for the XXXX loan. My mother did not sign the XXXX loan, and is not listed on the promissory note, and the promissory note clearly lists me as the borrower and now deceased father as the co-signer. Yet, they have listed my mother has the borrower and have been calling her harassing her for payments on the loan despite her informing them she is not the borrower or signed to the loan. 

Because Firstmark 's system does not show me being attached to the loan, they have denied me access to said loan, and said they are unable to discuss the account with me. Despite the fact that I had been previously receiving statements on my account for the XXXX loan, until XX/XX/XXXX. At at the same time, have informed my mother that she was in fact the primarily borrower over the phone. And have provided my mother with loan information for the XXXX loan, and sent her a copy of the XXXX promissory note despite her not being a obligor on that loan. I did not authorize access and disclosure of my loan documents to a non-obligated third-party. 

Around XXXX or XXXX of XXXX, a monthly payment was made on my account for the XXXX loan. However, Firstmark reversed that payment and applied a portion of that payment to the XXXX loan. However, because the XXXX loan does not appear under my online account, I do not have access to it. I was never informed the funds would be redirected to a loan not visible to me and which I am denied access to. I only found out because my account showed late/missing payments despite me making the payment, and it required my mother a non-affiliated third party to find out where the funds were sent. 

My mother and I have called Firstmark both separately and on a joint phone call and informed them over the phone that I was the correct borrower on the XXXX loan and to correct the error, but they have failed to do so. Despite being informed that my mother is not an obligor on the XXXX loan, and after providing her with a copy of the promissory note that clearly shows she did not sign the loan, Firstmark has continued to contact her, talk down to her, dismiss her when informing them she is not the loan borrower.

Because Firstmarks system does not list me as a borrower on the XXXX loan, despite the loan appearing on my credit report, I filed a dispute with XX/XX/XXXX regarding the inaccurate borrower designation. My dispute was subsequently denied.",Student loan
"I am requesting review of retroactive deferred interest applied to my CareCredit account issued by Synchrony Bank. 

I made consistent payments toward my promotional balance and intended to pay it in full within the promotional framework. I contacted the company immediately upon becoming aware of the issue after reviewing my statement and was informed I missed their internal resolution window by only 2 days. 

I escalated this issue through multiple levels of customer service, including supervisors and specialized review teams, and was repeatedly denied a goodwill adjustment. 

Given the extremely close timing and my prompt action once aware, I am requesting a one-time goodwill waiver or adjustment of the deferred interest.",Credit card
I had told cash app that I had misplaced my phone when I had to rush my mom to the hospital and I didn't realize I did have my phone. So when I got a replacement phone I downloaded all of my apps. I realized money from my cash app was sent to a person I dont even know. When I told cash app they didn't try to help me or nothing they just closed my account. Out of all the times I used cash app I have never made a report till now. You cant verbally talk to a supervisor they only respond by email which isn't fair.,"Money transfer, virtual currency, or money service"
"I am an FHA borrower roughly XXXX months behind on my mortgage due to a job loss in XX/XX/XXXX. My loan is serviced by ServiceMac , LLC ( subservicer for XXXX XXXX XXXX ). 
I submitted a loss mitigation application on XX/XX/XXXX, which the servicer marked "" XXXX. '' In early XX/XX/XXXX I called and requested a forbearance, which was placed on my loan effective XX/XX/XXXX. As the forbearance ended, I called again in XX/XX/XXXX to discuss next steps and expected to receive trial plan terms in writing, per standard FHA procedure. 
On XX/XX/XXXX, the servicer denied my loss mitigation application, citing that my loan "" has exceeded the limit for defaulted trial plans. '' I appealed. On appeal, the servicer stated that a trial plan was issued in XX/XX/XXXX and that I failed to make the trial payment. 
This is the core problem : no trial plan was ever delivered to me through any channel. I was never given a trial payment amount or due date. I have searched every email from the servicer ( XXXX and XXXX ) and none contains a trial plan offer, agreement, or terms. I was locked out of the servicing portal from XX/XX/XXXX through XX/XX/XXXX which covers the entire XXXX window when the servicer claims the trial plan was issued. On XX/XX/XXXX, the servicer emailed me admitting that mail sent to me was returned undeliverable and that they may not have had an accurate address on file. Any mailed trial plan would have been affected by this. The servicer never called me with trial plan terms. 
Separately, between XX/XX/XXXX and XX/XX/XXXX I received XXXX XXXX  XXXX  stating they were "" still actively working '' on my loss mitigation request the last sent XX/XX/XXXX, XXXX days before the denial. A representative later acknowledged by phone that these automated emails are misleading to borrowers. The denial also claimed I "" indicated that [ I ] do not require reduced payments, '' which is false my current payment is roughly 43 % of household income and is not sustainable. 
A borrower can not default on a trial plan that was never delivered and whose terms were never communicated. I am requesting that the servicer produce documentation of the trial plan they claim was issued in XX/XX/XXXX including the payment amount, due date, the address it was sent to, and proof of delivery and that they reverse the denial and re-evaluate me for an FHA Partial Claim plus Loan Modification at a sustainable payment.",Mortgage
"I am disputing several late payment entries and collection/charge-off accounts currently being reported on my TransUnion credit report because I have serious concerns about their accuracy, completeness, and proper verification. 

The late payments in question include XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX, and XXXX XXXXXXXX. In addition, the collection and charge-off accounts include XXXXXXXX XXXX XXXXXXXX, XXXX XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX XXXXXXXX XXXX XXXXXXXX, XXXX XXXX XXXX XXXX XXXXXXXX, XXXX XXXXXXXX XXXX XXXXXXXX, XXXX XXXXXXXX XXXX XXXX XXXXXXXX, XXXXXXXX XXXX XXXX and XXXX XXXX. 

After carefully reviewing my financial records, I am unable to verify that these accounts and late payments are being reported with full accuracy. I have not been provided with supporting documentation such as signed agreements, complete payment histories, or proof of lawful transfer/assignment of these debts. What is particularly concerning is the pattern of repeated reporting from certain debt buyers, especially XXXX XXXX, which raises the possibility of duplicate reporting, improper resale of the same debt, or incomplete record-keeping. 

Additionally, the presence of both late payments and collections across multiple furnishers that I can not fully validate leads me to believe that my personal information may have been compromised or misused, potentially due to a data breach or unauthorized data sharing. This could explain why accounts and negative entries are appearing that do not align with my own records or recollection. 

Under 15 U.S.C. 1681i ( a ), I am entitled to a reasonable reinvestigation of disputed items. Under 15 U.S.C. 1681e ( b ), TransUnion must ensure maximum possible accuracy of the information it reports. Furthermore, under 15 U.S.C. 1681s-2 ( b ), furnishers are required to conduct a thorough and good-faith investigation when disputes are submitted. The continued reporting of these items without providing meaningful verification raises serious concerns about compliance with these legal obligations.",Credit reporting or other personal consumer reports
"Integra credit XXXX : XXXX XXXX XXXX XXXX, Suite XXXX, XXXX, IL, XXXX Fax number : XXXX Email : XXXX The Integra credit personal loan was partially paid, the rest was included in a bankruptcy. The bankruptcy lawyers attempted to contact them and inform them to cease communication with myself, and communicate with my lawyers, they refused and kept contacting me using different numbers and methods since XX/XX/XXXX. The bankruptcy has been complete and fully discharged as of XX/XX/XXXX, and the integra credit no longer appears on my credit report. I reported this to XXXX XXXX as well. Integra is still bombarding me with calls a few times a week if not daily using several different phone numbers. They wont leave me alone. They have been informed via XXXX and the bankruptcy lawyers that their debt was cleared in the bankruptcy several times. I have given them the docket, the case resolution, XXXX reports, and they wont leave me alone.","Payday loan, title loan, personal loan, or advance loan"
"On XXXX XX/XX/year>, I discovered my Capital One Account was closed, without my consent or notice of closure. My account was in good standing and had no debt. 

I last successfully logged onto my account on XXXX XX/XX/year>, the day before my closure. 

I immediately contacted Capital One customer support upon discovering my account was closed. I spoke to a supervisor, XXXX, and asked why my account was closed XXXX day after my successful log-in, without my consent or notice, and how to get it re-opened. I also asked what will happen to my XXXX miles. XXXX confirmed they closed my account the same day of my call ( XXXX XX/XX/year> ). He did not re-open my account. He told me he opened a case for my account, which will take XXXX business days to resolve. He made it clear to not be optimistic for my account to be re-opened or for my XXXX miles to be re-instated. The expectation is my account and miles are gone and my credit score will be damaged.",Credit card
"There are collection accounts on my report that I believe contain inaccurate information. Under my rights pursuant to 15 USC 1681e ( b ) and 15 USC 1681i, I am entitled to an accurate credit report. I request a review of these entries, and if they can not be verified as accurate, I ask that they be removed.",Debt collection
I asked on email if the debt was paid will it be deleted from my credit report and a rep name XXXX told me yes I have receipts of debt paid and emails of her saying that she reached out to the credit bureaus to let them know to remove debt. Im reaching out because I would like this debt removed from collections off my credit report please and thank you. Im trying to buy a house and it made my score drop,Debt collection
"I purchased 6 months of insurance in full with XXXX. I cancelled after 2 months as I did not receive what I purchased. I was not refunded the XXXX amounts in full only partial and was falsely charged an unauthorized {$260.00}. This was not a cancellation fee as I was told I would not receive a fee since I never received what I paid for in full. This false {$260.00} is now on collection with CCS Collections and while no information for the false charge is being provided in my disputes there is no proof or reason why this false charge is on my credit report. Some credit agencies have removed it knowing it was fraudulent, but it still will not be removed from other reporting. CCS knows there is no proof of ownership, and refuses to remove it.",Debt or credit management
"I am submitting a new complaint due to ongoing and unresolved mortgage servicing violations that were not properly addressed in my prior complaint. 

I am a confirmed XXXX ( XXXX ) as of XX/XX/year> on an FHA-insured loan serviced by Truist Bank. Despite this, the servicer has repeatedly misapplied federal servicing requirements and denied loss mitigation assistance based on improper title and false probate requirements. 

Truist has : Denied multiple complete loss mitigation applications during the active FHA XXXX Recovery period from XXXX Provided inconsistent and shifting denial reasons ( title, income, missing documents ) Failed to properly evaluate my applications under FHA XXXX waterfall requirements Continued to misidentify the borrower despite confirmed SII status Ignored formal Notices of Error submitted under RESPA Engaged in ongoing collection activity while loss mitigation review was unresolved Most recently, Truist disengaged my application citing attestation not received without identifying any specific missing document or providing a compliant notice of incompleteness as required under federal law. 

Truists prior CFPB response relied on an incorrect assertion that probate or clear title is required to evaluate a XXXX for loss mitigation. This is inconsistent with FHA guidance, which allows confirmed XXXX to be evaluated for loss mitigation without requiring full title transfer through probate. 

Additionally, Truist failed to properly apply FHA XXXX Recovery Options, including streamlined and waterfall evaluations required under HUD Mortgagee Letters.

This is not a resolved issue. The servicing errors are ongoing, and I am at risk of foreclosure despite repeatedly attempting to obtain assistance under active federal programs that specifically prohibit foreclosure. 

I am requesting immediate review and enforcement of : FHA loss mitigation requirements Successor-in-Interest protections RESPA error resolution obligations This matter requires escalation and oversight, as prior complaint handling did not address the underlying violations and allowed the servicer to continue noncompliant conduct. 

Truists actions violate FHA servicing requirements, including but not limited to : HUD Mortgagee Letter XXXX XXXX Recovery Loss Mitigation Options ( requires evaluation of all eligible borrowers, including Successors-in-Interest ) HUD Mortgagee Letter XXXX Extension and continued implementation XXXX XXXX Recovery Options HUD Mortgagee Letter XXXX Final extensions of XXXX recovery protections These guidelines required servicers to evaluate borrowers through a structured waterfall and offer appropriate loss mitigation options before proceeding toward foreclosure. 

Truist failed to properly evaluate my applications during the active period of these protections ; then stated its no longer active protections while denying me when they were active. 

Additionally, Truists conduct raises concerns under : 12 CFR 1024.41 Failure to properly evaluate complete loss mitigation applications 12 CFR 1024.35 Failure to respond adequately to Notices of Error 12 CFR 1024.36 Failure to respond to Requests for Information The continued reliance on title/probate barriers is inconsistent with federal guidance regarding Successors-in-Interest and has been used to improperly deny assistance. My name is the sole name on the deed which was approved by the state with a valid Affidavit without probate. Even their foreclosure attorney confirmed this. Claims of having an unclear title are false ; the only XXXX on the property was done by Truist claiming it was in default knowing I was applying for modification.",Mortgage
I recieved a direct deposit and I went to check the balance and the entire app screen turned completely white. I was stranded at the gas station overnight declined every type of transaction contacted Venmo over XXXX and PayPal and the representatives insisted it was nothing they could do I have used several devices and tried to add new cards etc its a technical issue they allowed a bill to take money from the account but I have no ability to use or transfer or access my own funds and there is no attempt from the company to resolve the issue at all.,"Money transfer, virtual currency, or money service"
I leased out a XXXX XXXX XXXX XXXX XXXX. The agreed price was XXXX after taxes I put XXXX down. The car has XXXX miles Im now looking over my paperwork and the loan total is XXXX this document was never presented during the sale and the signature on it is typed with a font it looks nothing like my handwriting I do not know what to do PLEASE HELP I can notttt afford this! I tried to plead with the salesman to give me an extra day to think about this but he insured it was now or never saying it would be sold. I really needed a car because the one I bought literally in XXXX for {$10000.00} is done for I need this agreement reversed I never signed to pay {$43000.00} for a used car I never would not for this,Vehicle loan or lease
"In 2023 I contact Navy Federal via phone regarding applying for a credit card. The agent took my information over the phone and the call was concluded. The following day, after a change of mind, I went into a branch regarding canceling the application request and the agent stated that the application was already processed, although it was less than 24 hours. I then went home and called customer service regarding cancelling the card since I was told that the application was approved although I was initially told that the application process took several days for a decision for approval. I informed the agent that regardless to their claim of an approval so promptly that I no longer wanted the card. The agent then informed me in what I considered to be a threatening way that if I cancelled the card that was approved it would listed as a "" closed '' account on my credit report, which anyone who is credit savvy know that it would be a negative action to take because it decreases your score. Angry I replied, "" Ma'am whatever, keep the card. I don't send me anything because I don't want it and now its like I'm being strong armed into this card. '' I never did receive a card, so I thought that they honored my request but then some time later I saw the account on my credit file. I called Navey Federal and told them of my initial request to cancel the application and that I stated that I did not want a card and didn't have one anyway but there's a card present on my credit file. In turn Navy Federal reported, yet an additional card separately on my credit file instead of simply honoring my original grievance. I called them to complain about how I ask to not receive a card at all from the beginning and now their reporting on my credit report as if I now have two separate cards. The agents begin hanging up on me and thus far I've had no help.",Credit card
"I have had this loan since XX/XX/XXXX, as a refinancing. It was for XXXX and was offered a payment extension to put at the end of the loan, for months I sent payments in and believe that some of it would go towards the principal, after months of it I checked and every payment has gone towards interest, so out of XXXX only XXXX has gone towards the principal amount. I sent them XXXX in XXXX months ( my payment is XXXX ) with a grace period of 10 days before interest payment r fees were applied, thats what the rep said, I asked for it in writing, they refused and said they cant send anything. So now they said I owe XXXX in interest, XXXX in late fees and I can send in the XXXX like I promised every XXXX weeks but it will all get to interest again. Exceter finance is a scam and even with that they said I now owe my regular payment of XXXX due on XX/XX/XXXX plus the XXXX for their fees again, I cant get ahead of this and there is no way to add a payment to the principal unless you call them and ask for a supervisor to decide if they want to do it or not. I love the vehicle, its a XXXX XXXX XXXX but it should be paid down lower by now and no place will refinance it or take it as a trade in because the balance isnt going down at all. We initially thought the refinance was with XXXX XXXXXXXX XXXX and exceter said that they bought the loan the next day from XXXX XXXXXXXX XXXX had we known that we wouldnt have allowed us to get in this mess with knowing how exceter just takes and takes money for this fee, that fee and interest. Its upsetting and we need to find a way out and need your help. They have pulled plenty of deceptive practices to more than just me and I really need help here. Please help.",Vehicle loan or lease
